title,price,size,resolution,brand,rating
Телевизор LG OLED48A1RLA,549990,48,4К UHD (3840x2160),LG,0
Телевизор LG NanoCell 65NANO926PB UHD SMART,949990,65,4К UHD (3840x2160),LG,0
Телевизор LG OLED83C1RLA,3999990,83,4К UHD (3840x2160),LG,0
Телевизор LG NanoCell 55NANO776PA UHD SMART,399990,55,4К UHD (3840x2160),LG,0
Телевизор SAMSUNG QLED QE65Q77AAUXCE UHD SMART,749990,65,4К UHD (3840x2160),SAMSUNG,0
Телевизор LG LED 65UP77006LB UHD SMART,449990,65,4К UHD (3840x2160),LG,0
Телевизор SAMSUNG QLED QE75Q60AAUXCE UHD SMART,999990,75,4К UHD (3840x2160),SAMSUNG,0
Телевизор LG NanoCell 75NANO766PA UHD SMART,849990,75,4К UHD (3840x2160),LG,0
Телевизор LG LED 65UP81006LA UHD SMART,489990,65,4К UHD (3840x2160),LG,0
Телевизор LG LED 43UP76006LC UHD SMART,224990,43,4К UHD (3840x2160),LG,0
Телевизор LG NanoCell 50NANO866PA UHD SMART,449990,50,4К UHD (3840x2160),LG,0
Телевизор SAMSUNG LED UE50AU7500UXCE UHD SMART,309990,50,4К UHD (3840x2160),SAMSUNG,0
Телевизор SONY OLED XR55A90JCEP,1599990,55,4К UHD (3840x2160),SONY,0
Телевизор LG OLED77C1RLA,2499990,77,4К UHD (3840x2160),LG,0
Телевизор LG LED 43UP81006LA UHD SMART,259990,43,4К UHD (3840x2160),LG,0
Телевизор LED TCL 55P715 (4K Smart),209990,55,4К UHD (3840x2160),TCL,0
"Телевизор LED SONY KD 55 XH9077 (4K,Android)",499990,55,4К UHD (3840x2160),SONY,0
Телевизор QLED SAMSUNG QE 75 Q950TSUXCE,3899990,75,8K (7680 x 4320),SAMSUNG,0
Телевизор LED LG 49 UN73906LE (4K),259990,49,4К UHD (3840x2160),LG,0
Телевизор QLED SAMSUNG QE 65 Q950TSUXCE,2699990,65,8K (7680 x 4320),SAMSUNG,0
Телевизор LED KIVI 55 U 730GR,219890,55,4К UHD (3840x2160),KIVI,5
Телевизор LED LG 55NANO816NA (4K),429990,55,4К UHD (3840x2160),LG,0
Телевизор LED TCL 32 S60A (Android),119990,32,HD (1366х768),TCL,5
Телевизор QLED SAMSUNG QE 85 Q80TAUXCE,2049990,85,4К UHD (3840x2160),SAMSUNG,0
Телевизор LED LG 65NANO916NA (4K),899990,65,4К UHD (3840x2160),LG,0
Телевизор OLED LG 88ZX9LA,15499990,88,8K (7680 x 4320),LG,3
Телевизор LED SAMSUNG QE 43 LS 03TAUXCE,434990,43,4К UHD (3840x2160),SAMSUNG,0
Телевизор QLED SAMSUNG QE 43 Q60TAUXCE,299990,43,4К UHD (3840x2160),SAMSUNG,5
Телевизор LED KIVI 55 U 600GR,199890,55,4К UHD (3840x2160),KIVI,5
Телевизор SONY LED XR65X95JCEP UHD SMART,1249990,65,4К UHD (3840x2160),SONY,0
Телевизор SONY LED KD55X85TJCEP UHD SMART,629990,55,4К UHD (3840x2160),SONY,0
Телевизор SAMSUNG QLED QE75LS03AAUXCE The Frame UHD SMART,1379990,75,4К UHD (3840x2160),SAMSUNG,0
Телевизор SAMSUNG QLED QE85QN800AUXCE 8K SMART,3799990,85,8K (7680 x 4320),SAMSUNG,0
Телевизор LG MiniLED 86QNED996PB 8K SMART,4999990,86,8K (7680 x 4320),LG,0
Телевизор LG LED 75UP78006LC UHD SMART,759990,75,4К UHD (3840x2160),LG,0
Телевизор SAMSUNG QLED QE75Q80AAUXCE UHD SMART,1399990,75,4К UHD (3840x2160),SAMSUNG,0
Телевизор SONY LED XR85X95JCEP UHD SMART,2699990,85,4К UHD (3840x2160),SONY,0
Телевизор SONY LED KD65X81JR UHD SMART,699990,65,4К UHD (3840x2160),SONY,0
Телевизор SONY LED KD55X81JR UHD SMART,549990,55,4К UHD (3840x2160),SONY,0
Телевизор SAMSUNG QLED QE85QN90AAUXCE UHD SMART,2899990,85,4К UHD (3840x2160),SAMSUNG,0
Телевизор LG NanoCell 86NANO926PB UHD SMART,2399990,86,4К UHD (3840x2160),LG,0
Телевизор SAMSUNG QLED QE75Q77AAUXCE UHD SMART,1149990,75,4К UHD (3840x2160),SAMSUNG,0
Телевизор SAMSUNG LED UE75AU7500UXCE UHD SMART,769990,75,4К UHD (3840x2160),SAMSUNG,0
Телевизор SONY OLED XR77A80JCEP,2699990,77,4К UHD (3840x2160),SONY,0
Телевизор SONY LED KD85X85TJCEP UHD SMART,1649990,85,4К UHD (3840x2160),SONY,0
Телевизор SONY LED XR75X90JCEP UHD SMART,1249990,75,4К UHD (3840x2160),SONY,0
Телевизор SONY OLED XR65A80JCEP,1799990,65,4К UHD (3840x2160),SONY,0
Телевизор LG NanoCell 75NANO806PA UHD SMART,899990,75,4К UHD (3840x2160),LG,0
Телевизор LG OLED65A1RLA,1099990,65,4К UHD (3840x2160),LG,0
Телевизор LG LED 75UP81006LA UHD SMART,799990,75,4К UHD (3840x2160),LG,0
Телевизор LG OLED65B1RLA,1199990,65,4К UHD (3840x2160),LG,0
Телевизор LG LED 55UP81006LA UHD SMART,349990,55,4К UHD (3840x2160),LG,0
Телевизор SONY LED XR65X90JCEP UHD SMART,999990,65,4К UHD (3840x2160),SONY,0
Телевизор SAMSUNG QLED QE85QN85AAUXCE UHD SMART,2399990,85,4К UHD (3840x2160),SAMSUNG,0
Телевизор SAMSUNG QLED QE65QN900AUXCE 8K SMART,2899990,65,8K (7680 x 4320),SAMSUNG,0
Телевизор SONY LED KD75X81JCEP UHD SMART,979990,75,4К UHD (3840x2160),SONY,0
Телевизор SAMSUNG QLED QE75QN90AAUXCE UHD SMART,1899990,75,4К UHD (3840x2160),SAMSUNG,0
Телевизор SAMSUNG QLED QE65QN85AAUXCE UHD SMART,1149990,65,4К UHD (3840x2160),SAMSUNG,0
Телевизор LED KIVI 55 U 800BR,279990,55,4К UHD (3840x2160),KIVI,5
Телевизор OLED SONY KD 55AG9,1399990,55,4К UHD (3840x2160),SONY,0
Телевизор OLED SONY KD 65A8,1799990,65,4К UHD (3840x2160),SONY,0
Телевизор QLED SAMSUNG QE 85 Q950TSUXCE,5699990,85,8K (7680 x 4320),SAMSUNG,0
Телевизор LED KIVI 50 U 730GR,204890,50,4К UHD (3840x2160),KIVI,5
Телевизор QLED SAMSUNG QE 55 Q95TAUXCE,949990,55,4К UHD (3840x2160),SAMSUNG,0
Телевизор LED SAMSUNG UE 50 TU 7500 (4K),259990,50,4К UHD (3840x2160),SAMSUNG,5
Телевизор LED SAMSUNG UE 82 TU 8000 (4K),1069990,82,4К UHD (3840x2160),SAMSUNG,0
Телевизор LED SAMSUNG QE 32 LS 03TBKXRU,249990,32,4К UHD (3840x2160),SAMSUNG,0
